,pde,iter,success_rate,run_time,run_time_std,train_loss,train_loss_std,mse,mse_std,mxe,mxe_std,l2rel,l2rel_std,crmse,crmse_std,frmse_low,frmse_low_std,frmse_mid,frmse_mid_std,frmse_high,frmse_high_std
0,Burgers1D,20000,0.0,24.636121,0.0,0.0002620773739181459,0.0,0.0006935882613247289,0.0,0.36373028159072474,0.0,0.04326709085480246,0.0,0.0013817388239061273,0.0,,,,,,
1,Burgers2D,20000,0.0,336.704622,0.0,0.05011789873242378,0.0,0.21599338880052998,0.0,4.478224813938141,0.0,0.5081775704002799,0.0,0.09484557087065368,0.0,,,,,,
2,Heat2D_ComplexGeometry,20000,0.0,83.352005,0.0,0.003991948906332254,0.0,0.0007994129862670148,0.0,0.8911174043314531,0.0,0.02317897205620697,0.0,0.0037347596150620033,0.0,,,,,,
3,KuramotoSivashinskyEquation,20000,0.0,90.068429,0.0,0.05083330720663071,0.0,1.1529545783996582,0.0,3.5791397094726562,0.0,1.0064247846603394,0.0,0.1980803906917572,0.0,,,,,,
4,NS2D_LidDriven,20000,0.0,50.676663,0.0,0.00026205406174995005,0.0,5.6432611017953604e-05,0.0,0.2292506843805313,0.0,0.05454433336853981,0.0,0.0019614743068814278,0.0,,,,,,
