,pde,iter,success_rate,run_time,run_time_std,train_loss,train_loss_std,mse,mse_std,mxe,mxe_std,l2rel,l2rel_std,crmse,crmse_std,frmse_low,frmse_low_std,frmse_mid,frmse_mid_std,frmse_high,frmse_high_std
0,Burgers1D,20000,1.0,704.018952,0.0,0.0006906634080223739,0.0,0.00014951570564769993,0.0,0.0947258546941543,0.0,0.020088626114942578,0.0,0.0046303437649245025,0.0,0.13249047957948637,0.0,4.4622504276404645e-05,0.0,0.00010902553791970256,0.0
1,Burgers2D,20000,1.0,5436.508519,0.0,0.011673642322421074,0.0,0.22422784828901293,0.0,4.453801691532135,0.0,0.5177737609841031,0.0,0.10874100128322982,0.0,47.72284586713488,0.0,0.33881185755477855,0.0,0.06745720583818361,0.0
2,Heat2D_ComplexGeometry,20000,1.0,1668.897053,0.0,0.004759009927511215,0.0,0.001232290496296099,0.0,0.8227774604456499,0.0,0.028778299097857202,0.0,0.007331629538292614,0.0,,,,,,
3,KuramotoSivashinskyEquation,20000,1.0,1726.405604,0.0,0.044060152024030685,0.0,1.1445703506469727,0.0,3.3533191680908203,0.0,1.0027588605880737,0.0,0.19323335587978363,0.0,233.02143106415792,0.0,0.12725131464328168,0.0,1.1078051132785212,0.0
4,NS2D_LidDriven,20000,1.0,988.640204,0.0,0.0008840701775625348,0.0,0.00011622566671576351,0.0,0.21781420707702637,0.0,0.07827725261449814,0.0,0.0007487600669264793,0.0,0.13698776194798318,0.0,0.0001880024255490252,0.0,6.043096156432322e-06,0.0
