,pde,iter,success_rate,run_time,run_time_std,train_loss,train_loss_std,mse,mse_std,mxe,mxe_std,l2rel,l2rel_std,crmse,crmse_std,frmse_low,frmse_low_std,frmse_mid,frmse_mid_std,frmse_high,frmse_high_std
0,Burgers1D,20000,1.0,2291.740872,0.0,0.0028330180794000626,0.0,0.0004531870835238222,0.0,0.2676082253451472,0.0,0.03497402290259919,0.0,0.004631811313034683,0.0,0.13150394457687103,0.0,3.007226982040845e-05,0.0,0.0003643059355416847,0.0
1,Burgers2D,20000,1.0,26249.516538,0.0,1.418302059173584,0.0,0.1923113451839311,0.0,3.8235867619514465,0.0,0.47951005253006806,0.0,0.1425909879511423,0.0,103.35451562477735,0.0,0.23514942907068087,0.0,0.056450814080277883,0.0
2,Heat2D_ComplexGeometry,20000,1.0,8017.131798,0.0,0.18760350346565247,0.0,0.03716793718559756,0.0,0.7058364152908325,0.0,0.15804938187265205,0.0,0.09474347519403004,0.0,,,,,,
3,KuramotoSivashinskyEquation,20000,1.0,5055.893796,0.0,1.5333914756774902,0.0,1.0779470205307007,0.0,3.861445903778076,0.0,0.9731369018554688,0.0,0.027608085423707962,0.0,6.117613993955187,0.0,0.037974388895393646,0.0,1.076020005666908,0.0
4,NS2D_LidDriven,20000,0.0,144.333476,0.0,,,,,,,,,,,,,,,,
